Title,MediaUrl,Description,Type,Country,Year,ExpertRating,Genres,Actors
Dark,https://tse3.mm.bing.net/th/id/OIP.ubS7iFfwaUh-rp5ftQxTQgHaNK?rs=1&pid=ImgDetMain,A time travel mystery in a small German town,s,Germany,2017,8.8,"Sci-Fi,Mystery,Thriller","Louis Hofmann,Lisa Vicari,Andreas Pietschmann"
Money Heist,https://tse1.mm.bing.net/th/id/OIP.8kHVcYOHZ6I0yYnAOL6mnwHaK-?rs=1&pid=ImgDetMain,A criminal mastermind plans the biggest heist in history,s,Spain,2017,8.2,"Crime,Thriller,Drama","Álvaro Morte,Ursula Corberó,Pedro Alonso"
The Boys,https://th.bing.com/th/id/OIP.rjBXtIv6UeHqqcVe__WsNwHaNK?rs=1&pid=ImgDetMain,Superheroes gone bad are hunted by vigilantes,s,USA,2019,8.7,"Action,Drama,Sci-Fi","Karl Urban,Jack Quaid,Antony Starr"
Black Mirror,https://tse2.mm.bing.net/th/id/OIP.6Ap9vqs26J0wdNm7WJYFggHaLG?rs=1&pid=ImgDetMain,Standalone sci-fi stories about tech and society,s,UK,2011,8.8,"Sci-Fi,Drama,Thriller","Bryce Dallas Howard,Daniel Kaluuya,Hayley Atwell"
Euphoria,https://wallpapers.com/images/hd/cassie-euphoria-hbo-poster-y7hhijezd0vs7drh.jpg,A teen struggles with addiction and identity,s,USA,2019,8.4,"Drama,Teen","Zendaya,Hunter Schafer,Jacob Elordi"
The Witcher,https://tse2.mm.bing.net/th/id/OIP.k6sH-XwO_EJv-aJT2xkaOwHaHa?w=1500&h=1500&rs=1&pid=ImgDetMain,A monster hunter battles destiny in a magical world,s,USA,2019,8.2,"Fantasy,Action,Adventure","Henry Cavill,Anya Chalotra,Freya Allan"
House of the Dragon,https://tse1.mm.bing.net/th/id/OIP.GJAQG8GrU-smm_TAD2tBnwHaK9?rs=1&pid=ImgDetMain,Prequel to Game of Thrones about House Targaryen,s,USA,2022,8.5,"Fantasy,Drama","Emma D'Arcy,Matt Smith,Olivia Cooke"
How I Met Your Mother,https://tse1.mm.bing.net/th/id/OIP.AHFbpndozoGTeznlbD0CNwHaK5?rs=1&pid=ImgDetMai,A man tells his kids how he met their mother,s,USA,2005,8.3,"Comedy,Romance","Josh Radnor,Neil Patrick Harris,Cobie Smulders"
Loki,https://tse3.mm.bing.net/th/id/OIP.zvM06ZYOjrPp5i1IDkegGwHaNK?rs=1&pid=ImgDetMain,The God of Mischief messes with timelines,s,USA,2021,8.2,"Sci-Fi,Action,Fantasy","Tom Hiddleston,Owen Wilson,Sophia Di Martino"
The Last of Us,https://image.tmdb.org/t/p/w1280/uKvVjHNqB5VmOrdxqAt2F7J78ED.jpg,A man escorts a girl across post-apocalyptic America,s,USA,2023,9.0,"Drama,Adventure,Horror","Pedro Pascal,Bella Ramsey,Anna Torv"
